"","SCHOOL_TYPE","RACE","FAM_COMP","SES","PT_ED","PT_PUSH","COMP_AND_INTERNET","PERC_SOPH_COLLEGE_PREP","LOWEST_TEACHER_SALARY_THOUSANDS","TEST_COMP","SESQU_2011","DROPPED_OUT","ED_ATNMT_BACHELORS","PT_ED_YEARS","PT_PUSH_YEARS","LH_LACK_OF_SPACE","LH_POOR_BUILDINGS","LH_POOR_HEATING_AIR_LIGHT","LH_LACK_TEXT","LH_POOR_FACILITIES","LH_POOR_TECH","FREE_LUNCH_CATEGORIES","FREE_LUNCH_MAJ","MATH_PUSH_YEARS","ENGLISH_PUSH_YEARS","ED_ATNMT","TEST_COMP_QU"
"1","Public","Hispanic","Two Parents",-0.25,"Attend PS/Associate's","Bachelor's",TRUE,-9,37.215,56.21,"1",FALSE,FALSE,7,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,10,"Associates/
Some Undergrad",3
"2","Public","API","Two Parents",0.58,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37.215,57.66,"4",FALSE,TRUE,7,12,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,12,10,"PhD",4
"3","Public","White","Two Parents",-0.85,"Some HS/GED","Advanced Degree",TRUE,-9,37.215,66.5,"4",FALSE,TRUE,4,12,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,8,"Bachelors",4
"4","Public","Black","Single/Absent Parent",-0.8,"Some HS/GED","Advanced Degree",TRUE,-9,37.215,46.46,"1",FALSE,FALSE,4,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,6,"Associates/
Some Undergrad",2
"5","Public","Hispanic","Two Parents",-1.41,"Some HS/GED","Some HS/GED",TRUE,-9,37.215,36.17,"4",FALSE,FALSE,1,4,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,6,"Associates/
Some Undergrad",1
"6","Public","Hispanic","Single/Absent Parent",-1.07,"Some HS/GED",NA,TRUE,-9,37.215,30.72,"2",FALSE,FALSE,4,6,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,6,"Associates/
Some Undergrad",1
"7","Public","Hispanic","Two Parents",0.27,"Bachelors","Bachelor's",TRUE,-9,37.215,45.46,"2",FALSE,FALSE,8,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,6,"Associates/
Some Undergrad",2
"8","Public","White","Two Parents",-0.16,"Some HS/GED","Bachelor's",TRUE,-9,37.215,68.39,"4",FALSE,TRUE,4,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,8,"Bachelors",4
"9","Public","Hispanic","Two Parents",-1,"Some HS/GED","Bachelor's",TRUE,-9,37.215,42.07,NA,FALSE,NA,4,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,6,NA,1
"10","Public","Black","Two Parents",-1.22,"Some HS/GED","Some HS/GED",TRUE,-9,37.215,43.17,"3",FALSE,FALSE,1,4,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,8,"Associates/
Some Undergrad",2
"11","Public","Black","Two Parents",-0.18,"Bachelors","Bachelor's",TRUE,-9,37.215,58.06,"3",FALSE,FALSE,8,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,10,"Associates/
Some Undergrad",4
"12","Public","Hispanic","Single/Absent Parent",-0.03,"Attend PS/Associate's",NA,TRUE,-9,37.215,45.19,"1",FALSE,FALSE,6,6,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,7,6,"Associates/
Some Undergrad",2
"13","Public","Black","Two Parents",-0.8,"Attend PS/Associate's","Advanced Degree",TRUE,-9,37.215,40.36,"2",FALSE,FALSE,6,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,8,"Associates/
Some Undergrad",1
"14","Public","API","Two Parents",-0.16,"Some HS/GED","Bachelor's",TRUE,-9,37.215,53.03,"2",FALSE,FALSE,4,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,10,6,"Associates/
Some Undergrad",3
"15","Public","API","Two Parents",0.99,"Advanced Degree","Advanced Degree",TRUE,-9,37.215,70.04,"4",FALSE,TRUE,10,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,12,"Bachelors",4
"16","Public","Black","Single/Absent Parent",0.22,"Some HS/GED",NA,FALSE,-9,37.215,31.93,NA,FALSE,NA,4,6,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,4,NA,1
"17","Public","Black","Single/Absent Parent",0.06,"Advanced Degree","Bachelor's",TRUE,-9,37.215,33.08,"3",FALSE,FALSE,10,8,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,NA,NA,"Associates/
Some Undergrad",1
"18","Public","Hispanic","Single/Absent Parent",-1.35,"Some HS/GED","Advanced Degree",TRUE,-9,37.215,57.17,NA,FALSE,NA,1,12,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,6,2,NA,3
"19","Public","White","Two Parents",-0.57,"Some HS/GED",NA,FALSE,-9,37.215,43.8,"1",TRUE,FALSE,4,6,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,4,4,"GED",2
"20","Public","API","Two Parents",1.18,"Advanced Degree","Advanced Degree",TRUE,-9,37.215,57.69,"4",FALSE,TRUE,10,10,"No","No","No","No",FALSE,FALSE,"<=50%",FALSE,8,8,"Master's/
Post-Bacc. Cert.",4
