"","SCHOOL_TYPE","RACE","FAM_COMP","SES","PT_ED","PT_PUSH","COMP_HOME","HAS_INTERNET","TEACHER_TECH_ACCESS","PERC_SOPH_COLLEGE_PREP","LOWEST_TEACHER_SALARY_THOUSANDS","TEST_COMP","SESQU_2011","DROPPED_OUT","ED_ATNMT_BACHELORS","PT_ED_YEARS","PT_PUSH_YEARS","SES_2011","BYA50A_1","BYA50B_1","BYA50C_1","BYA50D_1","BYA50E_1","BYA50F_1","BYA50G_1","BYA50H_1","BYA50K_1","FREE_LUNCH_CATEGORIES","FREE_LUNCH_MAJ"
"1","Public","Hispanic","Two Parents",-0.25,"Attend PS/Associate's","Bachelor's","1","1",15,-9,37.215,56.21,"1",FALSE,FALSE,7,8,0.29,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"2","Public","API","Two Parents",0.58,"Attend PS/Associate's","Advanced Degree","1","1",15,-9,37.215,57.66,"4",FALSE,TRUE,7,12,1.29,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"3","Public","White","Two Parents",-0.85,"Some HS/GED","Advanced Degree","1","1",15,-9,37.215,66.5,"4",FALSE,TRUE,4,12,0.65,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"4","Public","Black","Single/Absent Parent",-0.8,"Some HS/GED","Advanced Degree","1","1",15,-9,37.215,46.46,"1",FALSE,FALSE,4,10,0.08,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"5","Public","Hispanic","Two Parents",-1.41,"Some HS/GED","Some HS/GED","1","1",15,-9,37.215,36.17,"4",FALSE,FALSE,1,4,0.85,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"6","Public","Hispanic","Single/Absent Parent",-1.07,"Some HS/GED","Some HS/GED","1","1",15,-9,37.215,30.72,"2",FALSE,FALSE,4,6,0.16,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"7","Public","Hispanic","Two Parents",0.27,"Bachelors","Bachelor's","1","1",15,-9,37.215,45.46,"2",FALSE,FALSE,8,8,0.04,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"8","Public","White","Two Parents",-0.16,"Some HS/GED","Bachelor's","1","1",15,-9,37.215,68.39,"4",FALSE,TRUE,4,8,0.98,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"9","Public","Hispanic","Two Parents",-1,"Some HS/GED","Bachelor's","1","1",15,-9,37.215,42.07,"1",FALSE,FALSE,4,8,0.11,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"10","Public","Black","Two Parents",-1.22,"Some HS/GED","Some HS/GED","1","1",15,-9,37.215,43.17,"3",FALSE,FALSE,1,4,0.2,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"11","Public","Black","Two Parents",-0.18,"Bachelors","Bachelor's","1","1",15,-9,37.215,58.06,"3",FALSE,FALSE,8,8,0.05,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"12","Public","Hispanic","Single/Absent Parent",-0.03,"Attend PS/Associate's","Bachelor's","1","1",15,-9,37.215,45.19,"1",FALSE,FALSE,6,6,0.21,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"13","Public","Black","Two Parents",-0.8,"Attend PS/Associate's","Advanced Degree","1","1",15,-9,37.215,40.36,"2",FALSE,FALSE,6,10,0.08,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"14","Public","API","Two Parents",-0.16,"Some HS/GED","Bachelor's","1","1",15,-9,37.215,53.03,"2",FALSE,FALSE,4,8,0.21,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"15","Public","API","Two Parents",0.99,"Advanced Degree","Advanced Degree","1","1",15,-9,37.215,70.04,"4",FALSE,TRUE,10,10,0.87,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"16","Public","Black","Single/Absent Parent",0.22,"Some HS/GED","Some HS/GED","1","0",15,-9,37.215,31.93,"2",FALSE,FALSE,4,6,0.46,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"17","Public","Black","Single/Absent Parent",0.06,"Advanced Degree","Bachelor's","1","1",15,-9,37.215,33.08,"3",FALSE,FALSE,10,8,0.1,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"18","Public","Hispanic","Single/Absent Parent",-1.35,"Some HS/GED","Advanced Degree","1","1",15,-9,37.215,57.17,"3",FALSE,TRUE,1,12,0.16,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"19","Public","White","Two Parents",-0.57,"Some HS/GED","Some HS/GED","0","0",15,-9,37.215,43.8,"1",TRUE,FALSE,4,6,0.49,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"20","Public","API","Two Parents",1.18,"Advanced Degree","Advanced Degree","1","1",15,-9,37.215,57.69,"4",FALSE,TRUE,10,10,1.11,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"21","Public","Hispanic","Two Parents",-0.63,"Attend PS/Associate's","Advanced Degree","1","1",15,-9,37.215,45.95,"3",FALSE,FALSE,5,12,0.48,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"22","Public","Hispanic","Single/Absent Parent",-0.69,"Attend PS/Associate's","Some HS/GED","0","1",15,-9,37.215,46.84,"1",FALSE,FALSE,7,6,0.25,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"23","Public","Hispanic","Two Parents",-0.69,"Some HS/GED","Advanced Degree","0","0",15,-9,37.215,39.17,"1",FALSE,FALSE,4,10,0.16,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"24","Public","Hispanic","Two Parents",-1.22,"Some HS/GED","Advanced Degree","1","0",15,-9,37.215,40.7,"1",FALSE,FALSE,4,10,0.08,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"25","Public","API","Two Parents",-0.64,"Some HS/GED","Bachelor's","1","1",15,-9,37.215,51.96,"2",FALSE,TRUE,1,8,0.28,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"26","Public","API","Two Parents",-0.12,"Bachelors","Advanced Degree","1","1",15,-9,37.215,57.72,"4",FALSE,TRUE,8,10,1.43,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"27","Public","API","Two Parents",-1,"Some HS/GED","Bachelor's","1","1",15,-9,37.215,43.62,"3",FALSE,FALSE,1,8,0.02,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"28","Public","White","Two Parents",0.26,"Attend PS/Associate's","Advanced Degree","1","1",15,-9,37.215,71.11,"4",FALSE,TRUE,6,10,0.66,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"29","Public","White","Two Parents",0.48,"Attend PS/Associate's","Bachelor's","1","1",15,-9,37.215,54.72,"4",FALSE,TRUE,6,8,0.54,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"30","Public","Hispanic","Two Parents",-0.16,"Some HS/GED","Some HS/GED","1","1",15,-9,37.215,42.19,"1",FALSE,FALSE,4,4,0.02,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"31","Public","Hispanic","Single/Absent Parent",-1.16,"Some HS/GED","Bachelor's","1","1",15,-9,37.215,41.66,"3",FALSE,FALSE,4,8,0.02,1,1,1,1,1,1,1,1,1,"<=50%",FALSE
"32","Public","White","Two Parents",-0.24,"Attend PS/Associate's","Advanced Degree","1","1",0,-7,22,50.57,"2",FALSE,FALSE,6,12,0.1,3,4,3,4,4,4,4,4,4,"<=50%",FALSE
"33","Public","White","Two Parents",0.05,"Bachelors","Advanced Degree","1","1",0,-7,22.189,56.21,"4",FALSE,TRUE,8,10,1.08,1,2,2,2,2,2,2,3,3,"<=50%",FALSE
"34","Public","White","Two Parents",-0.34,"Some HS/GED","Bachelor's","1","1",0,-7,25,51.31,"2",FALSE,FALSE,4,6,0.13,3,3,4,4,3,2,2,3,3,"<=50%",FALSE
"35","Public","Black","Two Parents",-0.77,"Some HS/GED","Bachelor's","1","1",0,-7,20.67,44.29,"3",FALSE,FALSE,4,8,0.06,3,3,4,4,3,3,2,1,3,"<=50%",FALSE
"36","Public","White","Single/Absent Parent",0.37,"Attend PS/Associate's","Advanced Degree","1","1",0,-7,21.5,66.52,"4",FALSE,TRUE,6,10,1.16,4,4,3,4,4,4,4,4,4,"<=50%",FALSE
"37","Public","White","Two Parents",0.19,"Attend PS/Associate's","Bachelor's","0","0",0,-7,21.5,58.65,"3",FALSE,TRUE,6,8,0.05,1,2,3,3,2,3,2,2,4,"<=50%",FALSE
"38","Public","Other","Two Parents",0.09,"Attend PS/Associate's","Advanced Degree","1","1",0,-7,27.9,50.11,"1",FALSE,FALSE,7,10,0.21,3,3,3,4,3,3,2,2,3,"<=50%",FALSE
"39","Public","Black","Single/Absent Parent",-0.48,"Attend PS/Associate's","Bachelor's","1","1",0,-7,21.5,45.82,"1",FALSE,FALSE,7,8,0.17,1,1,2,2,3,2,2,2,1,"<=50%",FALSE
"40","Public","Black","Single/Absent Parent",-0.43,"Some HS/GED","Bachelor's","0","0",0,-7,20.67,51.43,"1",FALSE,FALSE,4,8,0.17,1,1,1,2,2,2,2,2,2,"<=50%",FALSE
"41","Public","White","Single/Absent Parent",-0.64,"Some HS/GED","Advanced Degree","1","1",0,-7,10.5,36.06,"2",FALSE,FALSE,4,12,0.24,2,3,4,4,4,3,4,4,4,"<=50%",FALSE
"42","Public","White","Two Parents",0.05,"Attend PS/Associate's","Advanced Degree","0","0",0,-7,25,35.89,"4",FALSE,FALSE,6,10,0.55,1,2,2,4,2,2,2,2,2,"<=50%",FALSE
"43","Public","White","Two Parents",-0.93,"Some HS/GED","Bachelor's","1","1",0,-7,20.67,58.41,"2",FALSE,FALSE,4,6,0.14,1,1,3,3,1,2,1,1,1,"<=50%",FALSE
"44","Public",NA,"Single/Absent Parent",-0.22,"Advanced Degree","Advanced Degree","1","1",0,-7,24.04,38.25,"2",FALSE,FALSE,12,10,0.3,3,3,3,3,2,2,2,3,4,"<=50%",FALSE
"45","Public","Black","Two Parents",-0.44,"Some HS/GED","Advanced Degree","1","1",0,-7,17,48.48,"2",FALSE,FALSE,4,12,0.07,2,2,3,2,1,2,1,3,2,"<=50%",FALSE
"46","Public","White","Two Parents",1.13,"Advanced Degree","Bachelor's","1","1",0,-7,25,56.59,"3",FALSE,FALSE,10,8,0.08,3,3,4,4,3,3,2,3,3,"<=50%",FALSE
"47","Public","White","Single/Absent Parent",-0.58,"Attend PS/Associate's","Bachelor's","1","1",0,-7,25,43.25,"4",TRUE,TRUE,6,8,1.06,1,2,2,3,1,2,1,2,3,"<=50%",FALSE
"48","Public","Black","Single/Absent Parent",-0.57,"Some HS/GED","Some HS/GED","1","1",11,80,17,48.25,"3",FALSE,FALSE,4,4,0.46,2,2,2,4,1,3,3,2,1,">75%",TRUE
"49","Public","Black","Single/Absent Parent",-0.12,"Advanced Degree","Advanced Degree","0","0",11,80,34.167,36.16,"3",FALSE,FALSE,10,10,0.39,2,2,2,4,1,3,3,2,2,">75%",TRUE
"50","Public","Black","Single/Absent Parent",0.21,"Attend PS/Associate's","Advanced Degree","1","1",11,80,28,51.13,"1",FALSE,FALSE,5,12,0.39,2,2,2,4,1,3,3,2,3,">75%",TRUE
